SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,54 ; 17,23 ; 34,59 ; 1,28 ;;;;;;;;;;;;;;;;
 3,55 ; 17,50 ; 35,08 ; 1,33 ;;;;;;;;;;;;;;;;
 3,55 ; 16,94 ; 34,30 ; 1,34 ;;;;;;;;;;;;;;;;
 3,55 ; 16,99 ; 34,97 ; 1,35 ;;;;;;;;;;;;;;;;
 3,56 ; 17,01 ; 35,17 ; 1,30 ;;;;;;;;;;;;;;;;
 3,53 ; 16,92 ; 35,45 ; 1,30 ;;;;;;;;;;;;;;;;
 3,55 ; 17,32 ; 35,18 ; 1,34 ;;;;;;;;;;;;;;;;
 3,51 ; 16,79 ; 35,41 ; 1,33 ;;;;;;;;;;;;;;;;
 3,52 ; 16,43 ; 36,19 ; 1,35 ;;;;;;;;;;;;;;;;
 3,52 ; 16,89 ; 35,92 ; 1,42 ;;;;;;;;;;;;;;;;
 3,53 ; 16,67 ; 35,74 ; 1,42 ;;;;;;;;;;;;;;;;
 3,58 ; 16,79 ; 35,04 ; 1,43 ;;;;;;;;;;;;;;;;
 3,64 ; 16,50 ; 35,46 ; 1,44 ;;;;;;;;;;;;;;;;
 3,71 ; 17,20 ; 35,50 ; 1,44 ;;;;;;;;;;;;;;;;
 3,76 ; 17,79 ; 35,74 ; 1,52 ;;;;;;;;;;;;;;;;
 3,82 ; 18,02 ; 36,13 ; 1,55 ;;;;;;;;;;;;;;;;
 3,81 ; 17,98 ; 35,91 ; 1,53 ;;;;;;;;;;;;;;;;
 3,58 ; 17,82 ; 36,01 ; 1,57 ;;;;;;;;;;;;;;;;
 3,57 ; 17,30 ; 35,87 ; 1,54 ;;;;;;;;;;;;;;;;
 3,57 ; 17,72 ; 35,98 ; 1,60 ;;;;;;;;;;;;;;;;
 3,54 ; 17,70 ; 36,07 ; 1,73 ;;;;;;;;;;;;;;;;
 3,50 ; 17,75 ; 36,10 ; 1,76 ;;;;;;;;;;;;;;;;
 3,47 ; 17,89 ; 36,40 ; 1,90 ;;;;;;;;;;;;;;;;
 3,41 ; 17,37 ; 36,06 ; 1,75 ;;;;;;;;;;;;;;;;
 3,45 ; 17,37 ; 35,74 ; 1,77 ;;;;;;;;;;;;;;;;
 3,44 ; 17,83 ; 36,24 ; 1,83 ;;;;;;;;;;;;;;;;
 3,47 ; 23,55 ; 36,21 ; 1,81 ;;;;;;;;;;;;;;;;
 3,47 ; 21,40 ; 36,68 ; 1,79 ;;;;;;;;;;;;;;;;
 3,47 ; 21,67 ; 37,54 ; 1,85 ;;;;;;;;;;;;;;;;
 3,45 ; 21,89 ; 37,80 ; 1,85 ;;;;;;;;;;;;;;;;
 3,45 ; 21,97 ; 38,00 ; 1,91 ;;;;;;;;;;;;;;;;
 3,44 ; 21,72 ; 38,67 ; 1,92 ;;;;;;;;;;;;;;;;
 3,47 ; 21,82 ; 39,10 ; 1,99 ;;;;;;;;;;;;;;;;
 3,48 ; 20,53 ; 38,91 ; 2,20 ;;;;;;;;;;;;;;;;
 3,51 ; 20,70 ; 38,20 ; 2,18 ;;;;;;;;;;;;;;;;
 3,53 ; 20,95 ; 37,56 ; 2,41 ;;;;;;;;;;;;;;;;
 3,52 ; 21,50 ; 38,12 ; 2,54 ;;;;;;;;;;;;;;;;
 3,55 ; 22,00 ; 38,93 ; 2,65 ;;;;;;;;;;;;;;;;
 3,55 ; 22,96 ; 38,76 ; 2,44 ;;;;;;;;;;;;;;;;
 3,58 ; 24,33 ; 39,04 ; 2,43 ;;;;;;;;;;;;;;;;
 3,60 ; 24,69 ; 38,93 ; 2,14 ;;;;;;;;;;;;;;;;
 3,60 ; 24,16 ; 40,89 ; 2,24 ;;;;;;;;;;;;;;;;
 3,60 ; 24,54 ; 41,50 ; 2,54 ;;;;;;;;;;;;;;;;
 3,65 ; 24,63 ; 41,59 ; 2,58 ;;;;;;;;;;;;;;;;
 3,73 ; 24,80 ; 41,52 ; 2,52 ;;;;;;;;;;;;;;;;
 3,69 ; 25,21 ; 41,27 ; 2,44 ;;;;;;;;;;;;;;;;
 3,70 ; 25,64 ; 41,18 ; 2,34 ;;;;;;;;;;;;;;;;
 3,63 ; 24,71 ; 41,55 ; 2,36 ;;;;;;;;;;;;;;;;
 3,60 ; 24,58 ; 41,32 ; 2,33 ;;;;;;;;;;;;;;;;
 3,55 ; 24,14 ; 41,31 ; 2,22 ;;;;;;;;;;;;;;;;
 3,53 ; 24,14 ; 41,55 ; 2,29 ;;;;;;;;;;;;;;;;
 3,49 ; 23,05 ; 40,08 ; 2,12 ;;;;;;;;;;;;;;;;
 3,53 ; 22,65 ; 40,66 ; 2,19 ;;;;;;;;;;;;;;;;
 3,61 ; 22,69 ; 40,77 ; 2,30 ;;;;;;;;;;;;;;;;
 3,63 ; 23,67 ; 41,22 ; 2,41 ;;;;;;;;;;;;;;;;
 3,63 ; 25,35 ; 42,05 ; 2,45 ;;;;;;;;;;;;;;;;
 3,58 ; 25,30 ; 41,76 ; 2,46 ;;;;;;;;;;;;;;;;
 3,52 ; 25,08 ; 41,54 ; 2,43 ;;;;;;;;;;;;;;;;
 3,46 ; 24,15 ; 43,47 ; 2,47 ;;;;;;;;;;;;;;;;
 3,46 ; 24,13 ; 42,14 ; 2,41 ;;;;;;;;;;;;;;;;
 3,45 ; 24,75 ; 41,67 ; 2,47 ;;;;;;;;;;;;;;;;
 3,40 ; 24,26 ; 42,42 ; 2,39 ;;;;;;;;;;;;;;;;
 3,41 ; 24,36 ; 41,76 ; 2,25 ;;;;;;;;;;;;;;;;
 3,38 ; 24,15 ; 41,71 ; 2,15 ;;;;;;;;;;;;;;;;
 3,39 ; 24,02 ; 41,35 ; 1,98 ;;;;;;;;;;;;;;;;
 3,39 ; 24,39 ; 41,76 ; 2,19 ;;;;;;;;;;;;;;;;
 3,37 ; 24,12 ; 41,01 ; 2,17 ;;;;;;;;;;;;;;;;
 3,45 ; 25,55 ; 40,70 ; 2,24 ;;;;;;;;;;;;;;;;
 3,46 ; 26,45 ; 40,74 ; 2,14 ;;;;;;;;;;;;;;;;
 3,51 ; 26,46 ; 40,94 ; 2,13 ;;;;;;;;;;;;;;;;
 3,51 ; 27,20 ; 40,01 ; 2,13 ;;;;;;;;;;;;;;;;
 3,47 ; 27,35 ; 41,76 ; 2,03 ;;;;;;;;;;;;;;;;
 3,58 ; 27,30 ; 41,99 ; 1,98 ;;;;;;;;;;;;;;;;
 3,63 ; 26,29 ; 41,56 ; 1,96 ;;;;;;;;;;;;;;;;
 3,62 ; 25,34 ; 41,12 ; 1,97 ;;;;;;;;;;;;;;;;
 3,57 ; 23,80 ; 40,53 ; 2,08 ;;;;;;;;;;;;;;;;
 3,58 ; 22,77 ; 40,29 ; 1,91 ;;;;;;;;;;;;;;;;
 3,57 ; 24,00 ; 39,54 ; 1,77 ;;;;;;;;;;;;;;;;
 3,52 ; 24,31 ; 39,39 ; 1,60 ;;;;;;;;;;;;;;;;
 3,52 ; 24,83 ; 39,81 ; 1,71 ;;;;;;;;;;;;;;;;
 3,50 ; 23,50 ; 39,86 ; 1,60 ;;;;;;;;;;;;;;;;
 3,61 ; 22,70 ; 39,03 ; 1,52 ;;;;;;;;;;;;;;;;
 3,62 ; 23,17 ; 38,83 ; 1,58 ;;;;;;;;;;;;;;;;
 3,52 ; 22,20 ; 38,72 ; 1,70 ;;;;;;;;;;;;;;;;
