SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 4,89 ; 31,89 ; 42,25 ; 25,36 ;;;;;;;;;;;;;;;;
 4,76 ; 30,99 ; 42,67 ; 24,63 ;;;;;;;;;;;;;;;;
 4,78 ; 31,59 ; 42,31 ; 24,99 ;;;;;;;;;;;;;;;;
 4,97 ; 32,57 ; 42,20 ; 26,19 ;;;;;;;;;;;;;;;;
 5,11 ; 33,85 ; 43,29 ; 27,45 ;;;;;;;;;;;;;;;;
 5,19 ; 33,72 ; 42,85 ; 27,33 ;;;;;;;;;;;;;;;;
 5,21 ; 33,90 ; 44,78 ; 26,45 ;;;;;;;;;;;;;;;;
 5,21 ; 34,97 ; 45,44 ; 25,22 ;;;;;;;;;;;;;;;;
 5,14 ; 34,67 ; 44,80 ; 25,58 ;;;;;;;;;;;;;;;;
 4,95 ; 33,25 ; 44,44 ; 25,48 ;;;;;;;;;;;;;;;;
 4,98 ; 33,57 ; 44,64 ; 25,10 ;;;;;;;;;;;;;;;;
 4,98 ; 33,74 ; 45,64 ; 24,85 ;;;;;;;;;;;;;;;;
 5,01 ; 33,76 ; 47,00 ; 24,73 ;;;;;;;;;;;;;;;;
 4,96 ; 32,79 ; 46,52 ; 24,54 ;;;;;;;;;;;;;;;;
 4,96 ; 32,59 ; 46,40 ; 24,64 ;;;;;;;;;;;;;;;;
 4,94 ; 32,10 ; 45,15 ; 24,20 ;;;;;;;;;;;;;;;;
 4,95 ; 32,00 ; 44,23 ; 23,42 ;;;;;;;;;;;;;;;;
 5,00 ; 32,63 ; 44,15 ; 23,70 ;;;;;;;;;;;;;;;;
 4,98 ; 32,67 ; 43,40 ; 24,00 ;;;;;;;;;;;;;;;;
 5,14 ; 33,30 ; 43,96 ; 24,25 ;;;;;;;;;;;;;;;;
 5,13 ; 33,18 ; 44,09 ; 24,19 ;;;;;;;;;;;;;;;;
 4,99 ; 32,00 ; 44,75 ; 23,38 ;;;;;;;;;;;;;;;;
 5,20 ; 32,78 ; 45,47 ; 22,88 ;;;;;;;;;;;;;;;;
 5,39 ; 34,10 ; 44,20 ; 23,05 ;;;;;;;;;;;;;;;;
 5,36 ; 33,89 ; 44,00 ; 23,30 ;;;;;;;;;;;;;;;;
 5,21 ; 34,56 ; 43,80 ; 23,66 ;;;;;;;;;;;;;;;;
 5,18 ; 34,25 ; 43,64 ; 23,80 ;;;;;;;;;;;;;;;;
 5,15 ; 35,96 ; 44,31 ; 24,95 ;;;;;;;;;;;;;;;;
 5,11 ; 36,45 ; 45,30 ; 23,98 ;;;;;;;;;;;;;;;;
 5,12 ; 36,89 ; 45,53 ; 23,40 ;;;;;;;;;;;;;;;;
 5,15 ; 38,45 ; 47,05 ; 22,99 ;;;;;;;;;;;;;;;;
 5,18 ; 37,86 ; 45,89 ; 24,05 ;;;;;;;;;;;;;;;;
 5,18 ; 38,51 ; 45,74 ; 24,61 ;;;;;;;;;;;;;;;;
 5,14 ; 37,42 ; 45,92 ; 24,96 ;;;;;;;;;;;;;;;;
 5,15 ; 36,93 ; 46,19 ; 24,54 ;;;;;;;;;;;;;;;;
 5,22 ; 36,84 ; 45,66 ; 24,52 ;;;;;;;;;;;;;;;;
 5,19 ; 36,00 ; 45,08 ; 25,00 ;;;;;;;;;;;;;;;;
 5,22 ; 35,61 ; 45,39 ; 25,16 ;;;;;;;;;;;;;;;;
 5,37 ; 36,13 ; 45,49 ; 24,97 ;;;;;;;;;;;;;;;;
 5,39 ; 36,73 ; 45,90 ; 25,25 ;;;;;;;;;;;;;;;;
 5,37 ; 36,84 ; 45,20 ; 25,28 ;;;;;;;;;;;;;;;;
 5,10 ; 37,00 ; 46,50 ; 24,95 ;;;;;;;;;;;;;;;;
 4,97 ; 36,20 ; 45,94 ; 25,20 ;;;;;;;;;;;;;;;;
 4,84 ; 35,16 ; 45,55 ; 24,76 ;;;;;;;;;;;;;;;;
 4,72 ; 34,98 ; 45,00 ; 23,44 ;;;;;;;;;;;;;;;;
 4,64 ; 34,30 ; 43,90 ; 23,16 ;;;;;;;;;;;;;;;;
 4,73 ; 35,30 ; 45,05 ; 23,84 ;;;;;;;;;;;;;;;;
 4,65 ; 34,53 ; 44,54 ; 23,49 ;;;;;;;;;;;;;;;;
 4,65 ; 35,07 ; 44,50 ; 24,20 ;;;;;;;;;;;;;;;;
 4,69 ; 34,84 ; 44,60 ; 24,02 ;;;;;;;;;;;;;;;;
 4,70 ; 36,02 ; 44,44 ; 23,73 ;;;;;;;;;;;;;;;;
 4,73 ; 34,58 ; 44,68 ; 23,96 ;;;;;;;;;;;;;;;;
 4,67 ; 34,25 ; 44,12 ; 24,45 ;;;;;;;;;;;;;;;;
 4,64 ; 33,74 ; 43,79 ; 24,08 ;;;;;;;;;;;;;;;;
 4,51 ; 33,49 ; 43,86 ; 25,42 ;;;;;;;;;;;;;;;;
 4,38 ; 31,43 ; 43,82 ; 25,49 ;;;;;;;;;;;;;;;;
 4,30 ; 30,58 ; 44,14 ; 25,99 ;;;;;;;;;;;;;;;;
 4,28 ; 28,50 ; 44,83 ; 25,75 ;;;;;;;;;;;;;;;;
 4,34 ; 28,96 ; 45,59 ; 25,79 ;;;;;;;;;;;;;;;;
 4,38 ; 29,77 ; 45,71 ; 26,19 ;;;;;;;;;;;;;;;;
 4,31 ; 28,74 ; 45,20 ; 25,27 ;;;;;;;;;;;;;;;;
 4,35 ; 31,32 ; 45,93 ; 24,93 ;;;;;;;;;;;;;;;;
 4,42 ; 32,32 ; 46,61 ; 25,30 ;;;;;;;;;;;;;;;;
 4,43 ; 32,88 ; 48,39 ; 25,65 ;;;;;;;;;;;;;;;;
 4,37 ; 30,90 ; 48,39 ; 25,31 ;;;;;;;;;;;;;;;;
 4,41 ; 30,87 ; 47,85 ; 25,85 ;;;;;;;;;;;;;;;;
 4,38 ; 30,39 ; 47,53 ; 26,16 ;;;;;;;;;;;;;;;;
 4,44 ; 30,32 ; 47,52 ; 26,24 ;;;;;;;;;;;;;;;;
 4,35 ; 29,76 ; 47,65 ; 25,30 ;;;;;;;;;;;;;;;;
 4,41 ; 29,97 ; 48,95 ; 25,65 ;;;;;;;;;;;;;;;;
 4,35 ; 30,21 ; 48,40 ; 25,91 ;;;;;;;;;;;;;;;;
 4,32 ; 30,18 ; 47,35 ; 25,50 ;;;;;;;;;;;;;;;;
 4,25 ; 29,70 ; 46,22 ; 25,04 ;;;;;;;;;;;;;;;;
 4,23 ; 29,29 ; 46,44 ; 24,94 ;;;;;;;;;;;;;;;;
 4,18 ; 29,24 ; 45,46 ; 24,25 ;;;;;;;;;;;;;;;;
 4,19 ; 32,40 ; 45,11 ; 24,86 ;;;;;;;;;;;;;;;;
 4,14 ; 34,00 ; 44,39 ; 24,64 ;;;;;;;;;;;;;;;;
 4,07 ; 33,83 ; 44,52 ; 24,06 ;;;;;;;;;;;;;;;;
 3,96 ; 32,77 ; 44,00 ; 24,18 ;;;;;;;;;;;;;;;;
 3,91 ; 32,02 ; 43,31 ; 24,55 ;;;;;;;;;;;;;;;;
 3,98 ; 32,55 ; 43,48 ; 24,27 ;;;;;;;;;;;;;;;;
 4,05 ; 32,86 ; 44,19 ; 25,12 ;;;;;;;;;;;;;;;;
 4,13 ; 32,84 ; 44,01 ; 25,44 ;;;;;;;;;;;;;;;;
 4,06 ; 32,63 ; 44,72 ; 25,13 ;;;;;;;;;;;;;;;;
 3,96 ; 32,02 ; 43,96 ; 23,10 ;;;;;;;;;;;;;;;;
 3,94 ; 31,79 ; 43,76 ; 23,39 ;;;;;;;;;;;;;;;;
 4,07 ; 32,08 ; 43,55 ; 24,90 ;;;;;;;;;;;;;;;;
 4,21 ; 32,00 ; 43,91 ; 24,80 ;;;;;;;;;;;;;;;;
 4,22 ; 32,36 ; 45,01 ; 24,57 ;;;;;;;;;;;;;;;;
 4,24 ; 33,11 ; 45,47 ; 23,72 ;;;;;;;;;;;;;;;;
 4,20 ; 33,63 ; 45,45 ; 24,15 ;;;;;;;;;;;;;;;;
 4,33 ; 34,40 ; 46,48 ; 23,94 ;;;;;;;;;;;;;;;;
 4,36 ; 34,45 ; 46,43 ; 22,28 ;;;;;;;;;;;;;;;;
 4,46 ; 34,02 ; 46,45 ; 22,29 ;;;;;;;;;;;;;;;;
 4,38 ; 33,33 ; 45,83 ; 21,91 ;;;;;;;;;;;;;;;;
 4,39 ; 33,89 ; 45,57 ; 21,51 ;;;;;;;;;;;;;;;;
 4,35 ; 33,15 ; 45,00 ; 20,37 ;;;;;;;;;;;;;;;;
 4,45 ; 34,35 ; 45,20 ; 20,30 ;;;;;;;;;;;;;;;;
 4,37 ; 34,26 ; 45,34 ; 19,98 ;;;;;;;;;;;;;;;;
 4,38 ; 33,95 ; 45,52 ; 19,65 ;;;;;;;;;;;;;;;;
 4,45 ; 34,01 ; 45,50 ; 20,06 ;;;;;;;;;;;;;;;;
 4,42 ; 34,81 ; 44,23 ; 20,24 ;;;;;;;;;;;;;;;;
 4,44 ; 34,15 ; 44,14 ; 20,44 ;;;;;;;;;;;;;;;;
 4,37 ; 34,79 ; 44,46 ; 20,42 ;;;;;;;;;;;;;;;;
 4,36 ; 35,38 ; 44,47 ; 20,60 ;;;;;;;;;;;;;;;;
 4,30 ; 35,97 ; 44,55 ; 20,18 ;;;;;;;;;;;;;;;;
 4,26 ; 36,18 ; 44,69 ; 21,85 ;;;;;;;;;;;;;;;;
 4,26 ; 35,96 ; 44,45 ; 21,67 ;;;;;;;;;;;;;;;;
 4,25 ; 34,94 ; 44,75 ; 21,65 ;;;;;;;;;;;;;;;;
 4,24 ; 35,01 ; 44,45 ; 22,20 ;;;;;;;;;;;;;;;;
 4,18 ; 34,68 ; 44,74 ; 22,12 ;;;;;;;;;;;;;;;;
 4,19 ; 34,55 ; 44,75 ; 22,20 ;;;;;;;;;;;;;;;;
 4,29 ; 36,33 ; 44,14 ; 21,92 ;;;;;;;;;;;;;;;;
 4,25 ; 35,73 ; 43,67 ; 21,65 ;;;;;;;;;;;;;;;;
 4,37 ; 35,66 ; 43,85 ; 21,60 ;;;;;;;;;;;;;;;;
 4,30 ; 35,95 ; 43,57 ; 21,15 ;;;;;;;;;;;;;;;;
 4,34 ; 36,95 ; 43,93 ; 21,73 ;;;;;;;;;;;;;;;;
 4,31 ; 37,44 ; 43,66 ; 21,71 ;;;;;;;;;;;;;;;;
 4,21 ; 36,69 ; 42,95 ; 20,95 ;;;;;;;;;;;;;;;;
 4,23 ; 36,77 ; 42,94 ; 20,65 ;;;;;;;;;;;;;;;;
 4,31 ; 36,56 ; 43,40 ; 20,26 ;;;;;;;;;;;;;;;;
 4,26 ; 36,98 ; 43,20 ; 20,03 ;;;;;;;;;;;;;;;;
